,date,PM25,PM10,O3,NO2,SO2,CO
0,01/12/2020,46,40,15,27,6,7
1,02/12/2020,70,46,12,27,4,8
2,03/12/2020,84,37,13,20,3,7
3,04/12/2020,70,23,15,18,3,6
4,05/12/2020,42,27,16,19,3,6
5,06/12/2020,50,43,19,26,4,7
6,07/12/2020,82,50,26,25,4,7
7,08/12/2020,100,40,17,26,4,8
8,09/12/2020,78,50,14,34,4,11
9,10/12/2020,103,55,24,38,6,11
10,11/12/2020,113,49,16,32,4,12
11,12/12/2020,103,37,13,28,4,9
12,13/12/2020,73,32,8,21,2,8
13,14/12/2020,63,26,5,16,2,8
14,15/12/2020,49,13,5,11,1,7
15,16/12/2020,25,13,6,9,2,6
16,17/12/2020,26,17,7,8,1,5
17,18/12/2020,34,20,8,8,1,5
18,19/12/2020,38,24,15,11,2,5
19,20/12/2020,47,26,20,12,3,4
20,21/12/2020,50,34,25,18,4,7
21,22/12/2020,66,48,25,28,4,9
22,23/12/2020,96,48,12,30,8,11
23,24/12/2020,98,37,16,23,4,9
24,25/12/2020,74,51,13,32,8,13
25,26/12/2020,107,48,5,28,6,13
26,27/12/2020,95,50,3,17,3,12
27,28/12/2020,102,27,6,16,2,12
28,29/12/2020,54,17,6,17,2,10
29,30/12/2020,33,24,14,16,3,9
30,31/12/2020,43,31,17,24,6,9
31,01/11/2020,35,47,,22,8,11
32,02/11/2020,74,37,,18,8,10
33,03/11/2020,62,19,,14,9,6
34,04/11/2020,26,36,14,22,6,11
35,05/11/2020,56,54,15,34,3,14
36,06/11/2020,91,59,13,31,2,14
37,07/11/2020,112,31,18,17,2,9
38,08/11/2020,53,26,25,18,3,7
39,09/11/2020,47,32,29,24,5,8
40,10/11/2020,54,38,30,25,7,8
41,11/11/2020,65,40,26,30,7,11
42,12/11/2020,60,45,39,31,5,11
43,13/11/2020,73,41,34,30,5,10
44,14/11/2020,66,39,31,24,5,8
45,15/11/2020,67,26,21,14,1,6
46,16/11/2020,49,23,3,12,1,10
47,17/11/2020,45,23,6,15,1,13
48,18/11/2020,37,22,5,13,1,10
49,19/11/2020,30,26,4,13,1,12
50,20/11/2020,36,25,4,13,1,11
51,21/11/2020,35,19,5,12,1,6
52,22/11/2020,26,23,6,14,1,6
53,23/11/2020,34,31,5,19,1,10
54,24/11/2020,38,32,4,24,2,9
55,25/11/2020,47,37,8,28,2,8
56,26/11/2020,60,34,5,29,1,8
57,27/11/2020,50,35,18,24,2,7
58,28/11/2020,59,25,12,14,2,5
59,29/11/2020,44,20,18,14,2,4
60,30/11/2020,34,27,21,20,3,5
61,01/10/2020,28,16,,13,5,14
62,02/10/2020,22,26,,17,6,13
63,03/10/2020,37,28,,13,6,15
64,04/10/2020,40,21,,9,6,10
65,05/10/2020,33,20,,8,6,15
66,06/10/2020,28,22,,1,6,5
67,07/10/2020,33,15,,,6,5
68,08/10/2020,20,19,,8,6,4
69,09/10/2020,27,16,,8,6,5
70,10/10/2020,21,22,,9,7,4
71,11/10/2020,32,24,,10,7,4
72,12/10/2020,39,39,,17,8,8
