,HDD,Description,Chip Speeds,Chip Brands,Prices (Rupee),Card Models,Ram Speed,Card Brands,Ram,Prices (VND),SSD,Ram Type,Chip Type
0,,"Lenovo Ideapad S145 Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) S145-15IIL Laptop  (15.6 inch, Platinum Grey, 1.85 kg)",3.6 GHz,Intel,"₹32,990",NVIDIA GeForce MX250,,NVIDIA,8 GB,10.349.953,Yes,DDR4,Core i5
1,,"HP 14s Celeron Dual Core - (8 GB/256 GB SSD/Windows 10 Home) 14s-dq3017TU Thin and Light Laptop  (14 Inches, Jet Black, 1.46 KG, With MS Office)",,,"₹28,490",,,,,8.938.168,,,
2,,"Lenovo IdeaPad 3 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 10 Home) 14IIL05 Thin and Light Laptop  (14 inch, Platinum Grey, 1.6 kg, With MS Office)",,,"₹34,990",,,,,10.977.413,,,
3,,"acer Aspire 7 Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Ti) A715-75G-51H8 Gaming Laptop  (15.6 inch, Charcoal Black, 2.15 kg)",,,"₹50,990",,,,,15.997.093,,,
4,,"HP 14s Ryzen 3 Quad Core 4300U - (8 GB/512 GB SSD/Windows 10 Home) 14s-fr0016AU Thin and Light Laptop  (14 Inches, Natural Silver, 1.46 KG, With MS Office)",,,"₹38,990",,,,,12.232.333,,,
5,,"HP Pavilion Gaming Ryzen 5 Quad Core 3550H - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) 15-ec0101AX Gaming Laptop  (15.6 inch, Black, 2.04 kg)",,,"₹49,990",,,,,15.683.363,,,
6,,"HP 15s Core i3 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 15s-du1064TU Laptop  (15.6 Inches, Jet Black, 1.82 KG, With MS Office)",,,"₹41,990",,,,,13.173.523,,,
7,,"Lenovo Legion 5 Ryzen 5 Hexa Core 4600H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/120 HZ) 5 15ARH05 Gaming Laptop  (15.6 inch, Phantom Black, 2.3 kg)",,,"₹66,990",,,,,21.016.773,,,
8,,"HP Pavilion x360 Core i3 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14-dh1178TU 2 in 1 Laptop  (14 inch, Mineral Silver, 1.58 kg, With MS Office)",,,"₹49,990",,,,,15.683.363,,,
9,,"Lenovo Ideapad S145 Core i3 10th Gen - (4 GB/256 GB SSD/Windows 10 Home) S145-15IIL Thin and Light Laptop  (15.6 inch, Grey, 1.85 kg, With MS Office)",,,"₹33,990",,,,,10.663.683,,,
10,,"acer Aspire 7 Ryzen 5 Quad Core 3550H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/60 Hz) A715-41G-R6S8 Gaming Laptop  (15.6 inch, Charcoal Black, 2.15 kg)",,,"₹49,990",,,,,15.683.363,,,
11,,"HP 14s Core i3 10th Gen - (8 GB/256 GB SSD/Windows 10 Home) 14s-cf3074TU Thin and Light Laptop  (14 inch, Jet Black, 1.47 kg, With MS Office)",,,"₹35,990",,,,,11.291.143,,,
12,,"HP 15s Ryzen 5 Quad Core 3500U - (8 GB/512 GB SSD/Windows 10 Home) 15s-eq0500AU Thin and Light Laptop  (15.6 Inches, Natural Silver, 1.69 KG, With MS Office)",,,"₹46,990",,,,,14.742.173,,,
13,,"ASUS VivoBook 14 Ryzen 5 Hexa Core 4500U - (8 GB/512 GB SSD/Windows 10 Home) M413IA-EK582T Thin and Light Laptop  (14 inch, Bespoke Black, 1.4 kg)",,,"₹49,990",,,,,15.683.363,,,
14,,"Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core 4600H - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/60 Hz) 15ARH05 Gaming Laptop  (15.6 inch, Onyx Black, 2.2 kg)",,,"₹59,990",,,,,18.820.663,,,
15,,"acer Aspire 7 Ryzen 5 Quad Core 3550H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Ti) A715-41G-R7YZ Gaming Laptop  (15.6 inch, Charcoal Black, 2.15 kg)",,,"₹50,990",,,,,15.997.093,,,
16,,"HP 15s Dual Core 3020e - (4 GB/1 TB HDD/Windows 10 Home) 15s-GY0003AU Thin and Light Laptop  (15.6 inch, Jet Black, 1.76 kg)",,,"₹22,990",,,,,7.212.653,,,
17,,"HP Pavilion Gaming Ryzen 5 Quad Core 3550H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) 15-ec0104AX Gaming Laptop  (15.6 inch, Black, 1.98 kg)",,,"₹59,990",,,,,18.820.663,,,
18,,"HP 15s Ryzen 3 Quad Core 4300U - (8 GB/256 GB SSD/Windows 10 Home) 15s-ey1003AU Thin and Light Laptop  (15.6 Inches, Natural Silver, 1.69 KG, With MS Office)",,,"₹37,990",,,,,11.918.603,,,
19,,"Mi Notebook 14 Core i5 10th Gen - (8 GB/256 GB SSD/Windows 10 Home) JYU4298IN Thin and Light Laptop  (14 inch, Silver, 1.50 kg)",,,"₹43,999",,,,,13.803.806,,,
20,,"APPLE MacBook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGND3HN/A  (13.3 inch, Gold, 1.29 kg)",,,"₹92,900",,,,,29.145.517,,,
21,,"Lenovo Ideapad S145 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) S145-15IIL Laptop  (15.6 inch, Platinum Grey, 1.85 kg, With MS Office)",,,"₹48,990",,,,,15.369.633,,,
22,,"ASUS Celeron Dual Core - (4 GB/1 TB HDD/Windows 10 Home) X543MA-GQ1015T Laptop  (15.6 inch, Transparent Silver, 1.9 kg)",,,"₹19,990",,,,,6.271.463,,,
23,,"HP Pavilion x360 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 10 Home) 14-dh1181TU 2 in 1 Laptop  (14 inch, Mineral Silver, 1.58 kg, With MS Office)",,,"₹44,990",,,,,14.114.713,,,
24,,"HP Pavilion x360 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 10 Home) 14-dh1181TU 2 in 1 Laptop  (14 inch, Mineral Silver, 1.58 kg, With MS Office)",,,"₹44,990",,,,,14.114.713,,,
