,Card Brands,Chip Brands,SSD,Card Models,Chip Type,Prices (VND),Ram,Ram Speed,Chip Speeds,HDD,Ram Type,Description,Prices (Rupee)
0,NVIDIA,Intel,Yes,NVIDIA GeForce GTX 1650 Ti Max-Q,Core i7,49.252.473,16 GB,3200 MHz,4.80 GHz Max Turbo Frequency,1 TB,DDR4,"HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 15s-FR2006TU Thin and Light Laptop  (15.6 inches, Natural Silver, 1.75 Kg, With MS Office)","₹156,990"
1,NVIDIA,Intel,Yes,NVIDIA GeForce GTX 1650 Ti Max-Q,Core i7,10.349.953,16 GB,3200 MHz,4.80 GHz Max Turbo Frequency,1 TB,DDR4,"MSI Summit E15 Core i7 11th Gen - (16 GB/1 TB SSD/Windows 10 Pro/4 GB Graphics) Summit E15 A11SCST-272IN Laptop  (15.6 inch, Ink Black, 1.79 kg)","₹32,990"
2,Intel,Intel,No,Intel Integrated UHD,Core i3,49.252.473,8 GB,2666 MHz,1.2 GHz with Turbo Boost Upto 3.4 GHz,1 TB,DDR4,"Lenovo Ideapad S145 Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) S145-15IIL Laptop  (15.6 inch, Platinum Grey, 1.85 kg)","₹39,990"
3,NVIDIA,Intel,Yes,NVIDIA GeForce GTX 1650 Ti Max-Q,Core i7,10.349.953,16 GB,3200 MHz,4.80 GHz Max Turbo Frequency,1 TB,DDR4,"HP Chromebook x360 Core i3 10th Gen - (4 GB/64 GB EMMC Storage/Chrome OS) 14c-ca0004TU 2 in 1 Laptop  (14 inch, Mineral Silver, 1.65 kg)","₹30,990"
4,Intel,Intel,No,Intel Integrated UHD,Core i3,12.546.063,8 GB,2666 MHz,1.2 GHz with Turbo Boost Upto 3.4 GHz,1 TB,DDR4,"Lenovo Ideapad S145 Core i3 10th Gen - (4 GB/1 TB HDD/DOS) S145-15IIL Laptop  (15.6 inch, Platinum Grey, 1.85 kg)","₹33,990"
5,Intel,Intel,No,Intel Integrated UHD,Core i3,49.252.473,4 GB,2666 MHz,2.1 GHz with Turbo Boost Upto 4.1 GHz,1 TB,DDR4,"HP 15s Ryzen 3 Dual Core 3250U - (8 GB/1 TB HDD/Windows 10 Home) 15s-GR0011AU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.76 kg, With MS Office)","₹50,990"
6,NVIDIA,Intel,Yes,NVIDIA GeForce GTX 1650 Ti Max-Q,Core i7,10.349.953,16 GB,3200 MHz,4.80 GHz Max Turbo Frequency,1 TB,DDR4,"acer Aspire 7 Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Ti) A715-75G-51H8 Gaming Laptop  (15.6 inch, Charcoal Black, 2.15 kg)","₹95,990"
7,Intel,Intel,No,Intel Integrated UHD,Core i3,12.546.063,8 GB,2666 MHz,1.2 GHz with Turbo Boost Upto 3.4 GHz,1 TB,DDR4,"MSI GL Core i7 7th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1050) GL62 7RDX Gaming Laptop  (15.6 inch, Black, 2.4 kg)","₹50,990"
8,Intel,Intel,No,Intel Integrated UHD,Core i3,49.252.473,4 GB,2666 MHz,2.1 GHz with Turbo Boost Upto 4.1 GHz,1 TB,DDR4,"acer Aspire 7 Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Ti) A715-75G-51H8 Gaming Laptop  (15.6 inch, Charcoal Black, 2.15 kg)","₹99,990"
9,Intel,Intel,No,Intel Integrated UHD,Core i3,10.349.953,4 GB,2666 MHz,1.2 GHz with Turbo Boost Upto 3.4 GHz,1 TB,DDR4,"APPLE MacBook Air Core i5 10th Gen - (8 GB/512 GB SSD/Mac OS Catalina) MVH42HN/A  (13.3 inch, Silver, 1.29 kg)","₹50,990"
